model,test_accuracy,test_precision,test_recall,test_specificity,test_f1,test_auc,tp,tn,fp,fn
efficientnet_b3,0.9793103448275862,0.9,1.0,0.9745762711864406,0.9473684210526316,0.9927809165097301,27,115,3,0
densenet121,0.9724137931034482,0.9259259259259259,0.9259259259259259,0.9830508474576272,0.9259259259259259,0.9858757062146892,25,116,2,2
resnet50,0.9655172413793104,0.8928571428571429,0.9259259259259259,0.9745762711864406,0.9090909090909091,0.9855618330194601,25,115,3,2
convnext_small,0.9655172413793104,0.8928571428571429,0.9259259259259259,0.9745762711864406,0.9090909090909091,0.9855618330194601,25,115,3,2
resnext50,0.9517241379310345,0.9166666666666666,0.8148148148148148,0.9830508474576272,0.8627450980392156,0.9795982423101066,22,116,2,5
